A (Industry),B (Score),,Generic,Industry,Priority,,BandName,MinDays,MaxDays,ColorClass (optional),Notes
"Metal, Metal fabricator, Metal supplier, Steel fabricator, Iron works, Metal construction company",95,,"Metal, Metal fabricator, Metal supplier, Steel fabricator, Iron works, Metal construction company",Metal Fabrication,95,,Very Overdue,-9999,-15,bg-red-100 text-red-700,For overdue visits more than 2 weeks late
"Auto, Automotive, Auto repair, Auto repair shop, Auto body shop, Auto parts store, Mechanic",90,,"Auto, Automotive, Auto repair, Auto repair shop, Auto body shop, Auto parts store, Mechanic",Automotive,90,,Due Soon,-14,0,bg-yellow-100 text-yellow-700,For visits due today or within 2 weeks overdue
"Welder, Welders, Welding supply store, Welding gas supplier",88,,"Welder, Welders, Welding supply store, Welding gas supplier",Welding,85,,Upcoming,1,7,bg-blue-100 text-blue-700,For visits scheduled within the next week
"Plumber, Plumbing, Drainage service, Septic system service",85,,"Plumber, Plumbing, Drainage service, Septic system service",Plumbing,50,,Scheduled,8,30,bg-green-100 text-green-700,For visits scheduled within a month
"Electrician, Electrical installation service, Lighting contractor",70,,"Electrician, Electrical installation service, Lighting contractor",Electrical,55,,Long Term,31,9999,bg-gray-100 text-gray-600,For visits scheduled far in the
"HVAC, Heating contractor, Air conditioning contractor, HVAC supplier, Furnace repair service",85,,"HVAC, Heating contractor, Air conditioning contractor, HVAC supplier, Furnace repair service",HVAC,60,,,,,,
"Roofing, Roof, Roofing contractor, Roofing supply store",75,,"Roofing, Roof, Roofing contractor, Roofing supply store",Roofing,55,,,,,,
"Gutter, Gutter service, Gutter cleaning service",75,,"Gutter, Gutter service, Gutter cleaning service",Roofing/Plumbing (choose one),50â€“55,,,,,,
"Construction, Contractor, Building contractor, General contractor, Excavating contractor, Demolition contractor",60,,"Construction, Contractor, Building contractor, General contractor, Excavating contractor, Demolition contractor",Construction,70,,,,,,
"Manufacturing, Machine shop, Industrial equipment supplier",55,,"Manufacturing, Machine shop, Industrial equipment supplier",Manufacturing,75,,,,,,
"Retail, Appliance repair service, Convenience store, Body shop",55,,"Retail, Appliance repair service, Convenience store, Body shop",Retail,15,,,,,,
Plumbing,50,,,,,,,,,,
Retail,20,,,,,,,,,,
Metal,95,,Outcome,Stage,Status,,,,,,
Welder,85,,won,Won,Active,,,,,,
Plumber,50,,interested,Nurture,Hot,,,,,,
Electrician,55,,has vendor,Nurture,Warm,,,,,,
HVAC,60,,corporate or manager approval,Nurture,Warm,,,,,,
Roofing,55,,send info,Nurture,Warm,,,,,,
Roof,55,,reschedule,Nurture,Warm,,,,,,
Gutter,50,,left message,Nurture,Warm,,,,,,
Auto,90,,price too high,Lost,Cold,,,,,,
Construction,70,,not interest / not interested,Lost,Cold,,,,,,
Metal Fabrication,95,,no scrap / no scrap variants,Lost,Cold,,,,,,
Metal,95,,anything else,Prospect,Cold,,,,,,
Automotive,90,,,,,,,,,,
Auto,90,,,,,,,,,,
Machine Shop,88,,,,,,,,,,
Welding,85,,,,,,,,,,
Welder,85,,,,,,,,,,
Construction,70,,,,,,,,,,
Demolition,85,,,,,,,,,,
Manufacturing,75,,,,,,,,,,
Industrial Equipment,75,,,,,,,,,,
HVAC,60,,,,,,,,,,
Roofing,55,,,,,,,,,,
Roof,55,,,,,,,,,,
Electrical,55,,,,,,,,,,
Electrician,55,,,,,,,,,,
Plumbing,50,,,,,,,,,,
Plumber,50,,,,,,,,,,
Gutter,50 (mapped to Plumbing â€” adjust to 55 if you prefer Roofing),,,,,,,,,,
Retail,15,,,,,,,,,,